ts            src                des             seq      ack      check(win)      direction         
30.657202      41.177.26.193      244.3.160.248      148921      1845      64240      41.177.26.193->244.3.160.248      
30.657229      41.177.26.193      244.3.160.248      150381      1845      64240      41.177.26.193->244.3.160.248      
30.657253      41.177.26.193      244.3.160.248      151841      1845      64240      41.177.26.193->244.3.160.248      
30.657273      41.177.26.193      244.3.160.248      153301      1845      64240      41.177.26.193->244.3.160.248      
30.657307      41.177.26.193      244.3.160.248      154761      1845      64240      41.177.26.193->244.3.160.248      
30.657328      41.177.26.193      244.3.160.248      156221      1845      64240      41.177.26.193->244.3.160.248      
30.657364      41.177.26.193      244.3.160.248      157681      1845      64240      41.177.26.193->244.3.160.248      
30.660463      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
30.672357      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
30.674153      41.177.26.193      244.3.160.248      0      1      64240      41.177.26.193->244.3.160.248      
30.674367      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
30.674398      41.177.26.193      244.3.160.248      1      1626      64240      41.177.26.193->244.3.160.248      
30.674763      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
30.674794      41.177.26.193      244.3.160.248      1      1629      64240      41.177.26.193->244.3.160.248      
30.675915      41.177.26.193      244.3.160.248      1      1461      62780      41.177.26.193->244.3.160.248      
30.675922      41.177.26.193      244.3.160.248      1      1637      64240      41.177.26.193->244.3.160.248      
30.677002      41.177.26.193      244.3.160.248      159141      1845      64240      41.177.26.193->244.3.160.248      
30.678320      41.177.26.193      244.3.160.248      1      1626      64240      41.177.26.193->244.3.160.248      
30.678405      41.177.26.193      244.3.160.248      219      1626      64240      41.177.26.193->244.3.160.248      
30.678410      41.177.26.193      244.3.160.248      1      1629      64240      41.177.26.193->244.3.160.248      
30.678545      41.177.26.193      244.3.160.248      238      1629      64240      41.177.26.193->244.3.160.248      
30.678566      41.177.26.193      244.3.160.248      1698      1629      64240      41.177.26.193->244.3.160.248      
30.679024      41.177.26.193      244.3.160.248      3158      1629      64240      41.177.26.193->244.3.160.248      
30.679045      41.177.26.193      244.3.160.248      4618      1629      64240      41.177.26.193->244.3.160.248      
30.679101      41.177.26.193      244.3.160.248      1      1637      64240      41.177.26.193->244.3.160.248      
30.679245      41.177.26.193      244.3.160.248      222      1637      64240      41.177.26.193->244.3.160.248      
30.679265      41.177.26.193      244.3.160.248      1682      1637      64240      41.177.26.193->244.3.160.248      
30.679479      41.177.26.193      244.3.160.248      6078      1629      64240      41.177.26.193->244.3.160.248      
30.679501      41.177.26.193      244.3.160.248      7538      1629      64240      41.177.26.193->244.3.160.248      
30.679506      41.177.26.193      244.3.160.248      1208      1627      64240      41.177.26.193->244.3.160.248      
30.679510      41.177.26.193      244.3.160.248      1208      1627      64240      41.177.26.193->244.3.160.248      
30.679718      41.177.26.193      244.3.160.248      8998      1629      64240      41.177.26.193->244.3.160.248      
30.679744      41.177.26.193      244.3.160.248      10458      1629      64240      41.177.26.193->244.3.160.248      
30.679765      41.177.26.193      244.3.160.248      11918      1629      64240      41.177.26.193->244.3.160.248      
30.679862      41.177.26.193      244.3.160.248      3142      1637      64240      41.177.26.193->244.3.160.248      
30.679883      41.177.26.193      244.3.160.248      4602      1637      64240      41.177.26.193->244.3.160.248      
30.679992      41.177.26.193      244.3.160.248      6062      1637      64240      41.177.26.193->244.3.160.248      
30.680012      41.177.26.193      244.3.160.248      7522      1637      64240      41.177.26.193->244.3.160.248      
